item,content,score_0,score_1,score_2,score_3,score_4,score_5
gad7_q1,Feeling nervous anxious or on edge,Not at all,Several days,More than half the days,Nearly every day,,
gad7_q2,Not being able to stop or control worrying,Not at all,Several days,More than half the days,Nearly every day,,
gad7_q3,Worrying too much about different things,Not at all,Several days,More than half the days,Nearly every day,,
gad7_q4,Trouble relaxing,Not at all,Several days,More than half the days,Nearly every day,,
gad7_q5,Being so restless that it is hard to sit still,Not at all,Several days,More than half the days,Nearly every day,,
gad7_q6,Becoming easily annoyed or irritable,Not at all,Several days,More than half the days,Nearly every day,,
gad7_q7,Feeling afraid as if something awful might happen,Not at all,Several days,More than half the days,Nearly every day,,
pss_q1,Been upset because of something that happened unexpectedly,,Never,Almost never,Sometimes,Fairly often,Very often
pss_q2,Felt unable to control the important things in your life,,Never,Almost never,Sometimes,Fairly often,Very often
pss_q3,Felt nervous and stressed,,Never,Almost never,Sometimes,Fairly often,Very often
pss_q4,[positive] Dealt successfully with day-to-day problems and annoyances,,Never,Almost never,Sometimes,Fairly often,Very often
pss_q5,[positive] Felt effectively coping with important changes occurring in your life,,Never,Almost never,Sometimes,Fairly often,Very often
pss_q6,[positive] Felt confident about your ability to handle your personal problems,,Never,Almost never,Sometimes,Fairly often,Very often
pss_q7,[positive] Felt that things were going your way,,Never,Almost never,Sometimes,Fairly often,Very often
pss_q8,Found that you could not cope with all the things that you had to do,,Never,Almost never,Sometimes,Fairly often,Very often
pss_q9,[positive] Been able to control irritations in your life,,Never,Almost never,Sometimes,Fairly often,Very often
pss_q10,[positive] Felt that you were on top of things,,Never,Almost never,Sometimes,Fairly often,Very often
pss_q11,Been angered because of things that happened outside of your control,,Never,Almost never,Sometimes,Fairly often,Very often
pss_q12,Found yourself thinking about things that you have to accomplish,,Never,Almost never,Sometimes,Fairly often,Very often
pss_q13,[positive] Been able to control the way you spend your time,,Never,Almost never,Sometimes,Fairly often,Very often
pss_q14,Felt difficulties were piling up so high that you could not overcome them,,Never,Almost never,Sometimes,Fairly often,Very often
isi_q1,Severity of difficulty falling asleep,None,Mild,Moderate,Severe,Very Severe,
isi_q2,Severity of difficulty staying asleep,None,Mild,Moderate,Severe,Very Severe,
isi_q3,Severity of problem waking up too early,None,Mild,Moderate,Severe,Very Severe,
isi_q4,Satisfaction with current sleep pattern,Very Satisfied,Satisfied,Neutral,Dissatisfied,Very Dissatisfied,
isi_q5,Sleep problem interferes with daily functioning,Not at all,A little,Somewhat,Much,Very much,
isi_q6,Sleep problem noticeable to others impairing quality of life,Not at all,Barely,Somewhat,Much,Very much,
isi_q7,Worried or distressed about current sleep problem,Not at all,A little,Somewhat,Much,Very much,
